taxon;age;details;formal_substage_or_regional_stage;species;notes;max;min;midpoint;locality;stratigraphy;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fouldenia_ischiptera;Tournaisian;late Tournaisian;Ivorian;Schopfites claviger-Auroraspor macra (CM) miospore zones;;351	8;346	7;349	25;"River Tweed below Coldstream	 Berwickshire; Foulden Fish Bed	 Foulden Burn	 Berwickshire	 Scotland";Ballagan Formation	 Calciferous Sandstone Series	 Cementstone Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fukangichthys_longidorsalis;Anisian-Ladinian;late Anisian-end Ladinian;;;;243;237;240;Quanshuigou	 Fukang	 Xinjiang	 China ;upper part of the Kelamayi Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gibbodon_cenensis;Norian;late Norian;Alaunian;;;214	2;217	5;215	85;Cene	 Bergamo	 Italy;upper part of the Zorzino Limestone Formation	 Aralalta Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glyptolepis_groenlandica;Eifelian;;;;;394	3;385	3;389	8;Ymer Ø	 East Greenland;Genvejsdalen Member	 Viddal Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gogonasus_andrewsae;Frasnian;lower Frasnian;;transitans conodont zone;;377	2;376	6;376	9;Paddy’s Valley	 Mt. Pierre Station	 Western Australia;Gogo Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gogosardina_coatesi;Frasnian;lower Frasnian;;transitans conodont zone;;377	2;376	6;376	9;Paddy’s Valley	 Mt. Pierre Station	 Western Australia;Gogo Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guiyu_oneiros;Ludlow;late Ludlow;;Ozarkodina snajdri conodont zone;;423	8;423	1;423	45;Xiaoxiang Reservoir	 Qujing	 Yunnan	 China ;Kuanti Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hemicalypterus_weiri;Rhaetian;;;;base of Rhaetian based on oldest candidate (Austrian GSSP);209	5;201	4;205	45;Lisbon Valley	 San Juan County	 southeastern Utah	 USA;Church Rock Member	 Chinle Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heterostrophus_phillipsi;Oxfordian-Callovian;;;;;161	5;154	78;158	14;King's Dyke - Peterborough	 England;Oxford Clay Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hiodon_alosoides;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Howqualepis_rostridens;Givetian ;late Givetian;;;;385	3;378	9;382	1;upper Howqua River	 Mount Howitt	 Australia;Lower mudstone unit	 Avon River Group	 ?Moroka Glen Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hulettia_americana;Bathovian-Callovian;Upper Bathonian-Lower Callovian;;;;165	3;161	5;163	4;Montana	 Wyoming	 Colorado	 New Mexico	 South Dakota	 USA;Canyon Springs Sandstone Member	 Sundance Formation	 Wakanah Formation (Pony Express LImestone	 Todilto Limestone);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ichthyokentema_purbeckensis;Berriasian;;;;;183;174;178	5;Lulworth Cove	 Dorset	 England;Broken Beds	 Lulworth Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kalops_monophyrum;Serpukhovian;late Serpukhovian;Namurian e2b = lower Arnsbergian;;;326;325;325	5;southwest of Becket	 Fergus County	 Montana	 USA;Bear Gulch Limestone Member	 Heath Formation	 Big Snowy Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kansasiella_eatoni;Gzhelian;;Virgilian;;;303	7;298	9;301	3;between Lawrence and Baldwin	 Kentucky	 USA;base of the Robbins Shale	 Douglas Group	 Lawrence Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kentuckia_deani;Tournasian-Visean ;kockeli-sulcata Conodont Zones;;;;359	7;358	4;359	05;Kentucky	 USA;Falling Run Member	 New Albany Formation (correction from Giles & Friedman);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kentuckia_hlavini;Famennian;Late Famennian;;late expansa- early praesulcata conodont zones;;363	4;360	1;361	75;Skinners Run	 nr Brooklyn Heights	 Ohio	 USA;Cleveland Shale Member	 Ohio Shale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krasnoyarichthys_jesseni;Famennian;;;;;371	1;359	3;365	2;Preobrazhensky Village	 Nazarovo City	 Krasnoyarski Krai	 Russia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lambeia_pectinata;Tournasian ;;;;;359	3;346	7;353;New Brunswick	 Canada;Albert Shale Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lawrenciella_schaefferi;Gzhelian;;Virgilian;;;303	7;298	9;301	3;between Lawrence and Baldwin	 Kentucky	 USA;base of the Robbins Shale	 Douglas Group	 Lawrence Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lepisosteus_osseus;Holocene;;;;;0;0;0;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leptolepis_bronni;Toarcian;;;Falcifer ammonoid zone;;183	1;181	2;182	15;"Ilminster	 Dumbleton	 England; Curcy	 Normandy	 France";Upper Lias;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ligulalepis;Emsian;;;"pireneae-serotinus conodont zone (serotinus: 398.2-396.9); dehicens-perbonus zones	 corresponding approximately to excavatus-kitabicus zones";;410	5;405	6;408	05;Goodradigbee Inlet	 Wee Jasper	 New South Wales	 Australia ;Bloomfield Limestone Member	 Taemas Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limnomis_delayni;Famennian;Late Famennian (upper part of Fa2c substage);;Randispora ornata/Rugispora flexuo - upper Famennian palynozone VH (Apiculiretusispora verrucosa-Vallatisporites hystricosus);;362	4;362;362	2;Red Hill site	 nr Hyner	 Clinton County	 Pennsylvania	 USA;Duncannon Member	 Catskill Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luederia_kempi;Artinskian-Kungurian;;Leonardian;;;286;274	4;280	2;Baylor County	 Texas	 USA;Maybelle Aa2 Limestone Member	 Lueders Formation	 Albany Group ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luganoia_lepidosteoides;Anisian;;Illyrian;;;243	3;241	5;242	4;Monte San Giorgio	 Switzerland;Besano Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Macrepistius_arenatus;Albian;;base of Albian to top of middle Albain (top of middle Albian = first appearance of D. cristatum);;;113	2;107	6;110	4;Boyd	 Wise County	 Texas;lower part of Glen Rose Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Macrosemimimus_lennieri;Kimmeridgian;early/lower Kimmeridgian;;Pictonia baylei ammonoid zone;;154	8;153	4;154	1;"Cap de la Hève	 Bléville	 France; Manea (March) and Stretham (Ely)	 Cambridgeshire	 U.K.";Bancs de Plomb Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Macrosemius_rostratus;Tithonian;;lower Tithonian;;;149	2;145;147	1;Solnhofen	 Eichstätt and Kelheim regions of Bavaria	 Germany;Lithographic Limestone	 Solnhofen Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meemannia_eos;Lochkovian;late Lochkovian;;;;419;412	4;415	7;Xitun	 Qujing	 East Yunnan	 China;Xitun Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melanecta_anneae;Serpukhovian;early Serpukhovian;;;;330	3;327;328	65;Manse Burn	 Bearsden	 nr Glasgow	 Scotland;Shrimp Member	 Manse Burn Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesopoma_planti;Bashkirian;;;;;323;315;319;Carre Heys Colliery	 Trawden and Colne	 Lancashire	 England;Soapstone Bed	 Burnley Coalfield;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesturus_sp;Callovian;;;;;165	3;161	5;163	4;Peterborough	 England;Peterborough Member	 Oxford Clay;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesturus_verrucosus;Tithonian;lower Tithonian;lower Tithonian;;;149	2;145;147	1;Solnhofen	 Bavaria	 Germany;Lithographic Limestone	 Solnhofen Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Miguashaia_bureaui;Frasnian-Famennian;Middle Frasnian;;transitans-hassi (hassi equiv = Ag. triangularis) conodont zones;;377	2;370	7;;River Ristigouche	 Quebec	 Canada;Escuminac Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mimipiscis_bartrami;Frasnian;lower Frasnian;;transitans conodont zone;;377	2;376	6;376	9;Paddy’s Valley	 Mt. Pierre Station	 Western Australia;Gogo Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mimipiscis_toombsi;Frasnian;lower Frasnian;;transitans conodont zone;;377	2;376	6;376	9;Paddy’s Valley	 Mt. Pierre Station	 Western Australia;Gogo Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moythomasia_durgaringa;Frasnian;lower Frasnian;;transitans conodont zone;;377	2;376	6;376	9;Paddy’s Valley	 Mt. Pierre Station	 Western Australia;Gogo Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moythomasia_lineata;Givetian-Frasnian;latest Givetian-earliest Frasnian: use boundary;;;;378	9;378	9;378	9;Heiligenstock Quarry	 near Bergisch Gladbach	 North Rhine-Westphalia	 Germany;Upper Plattenkalk  (Oberer Plattenkalk);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moythomasia_nitida;Givetian-Frasnian;latest Givetian-earliest Frasnian: use boundary;;;;378	9;378	9;378	9;Heiligenstock Quarry	 near Bergisch Gladbach	 North Rhine-Westphalia	 Germany;Upper Plattenkalk  (Oberer Plattenkalk);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moythomasia_perforata;Frasnian;early Frasnian;;Bothriolepis cellulosa armoured fish zone;;377	9;376	6;377	25;Kokenhusen (Koknese)	 Latvia;Snetnaya Group (analogous to Snetnaya Gora Beds);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novagonatodus_kasantsevae;Tournasian;;;;;359	3;346	7;353;Mansfield	 Victoria ;Home Station Sandstone Member	 Snowy Plains Formation	 Mansfield group	 Avon Supergroup	 Mansfield Basin;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obaichthys_decoratus;Aptian-Albian;use boundary;;;;113	2;113	2;113	2;Ceará	 Brazil;Romualdo Member	 Santana Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Onychodus_jandemarrai;Frasnian;lower Frasnian;;transitans conodont zone;;377	2;376	6;376	9;Paddy’s Valley	 Mt. Pierre Station	 Western Australia;Gogo Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Osorioichthys_marginis;Famennian;late/end Famennian;;Palmatolepis crepida conodont zone	 Ptychomaletoechia dumonti brachiopod zone;;370	1;369	7;369	9;Philippeville-Mariembourg Le Fraity Highway	 Belguim;Evieux Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Osteolepis_macrolepidotus;Eifelian;;;;;394	3;385	3;389	8;"Sandwick Fish Bed	 Cruday Quarry	 Orkney; Achanarras Fish Bed; ?Dounreay Shore Formation; Crosskirk Bay Formation	 Scotland";Achanarras Fish Bed	 Lower Caithness Flagstone;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ozarcus_mapesae;Visean-Serpukhovian;;Chesterian; ;;335	6;323	4;329	5;ARC-07 locality	 near Leslie	 Searcy County	Ozark	 Arkansas	 USA;Fayetteville Formation (lower shale member)	 Chesterian	 Upper Mississippian;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paradapedium_egertoni;Toarcian-Aalenian;;;;;184	2;170	9;177	55;Pranhita-Godavari Vally	 Maharashtra	 India;Kota Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peltopleurus_lissocephalus;Anisian;;Illyrian;;;243	3;241	5;242	4;Monte San Giorgio	 Switzerland;c;;;;;;;;;;;;;;;;;;;;;;;;;;;;
