Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
680	-11217.41	-9484.484	-1732.928	740413.1	0.002139554	-0.0003299295	0.03909368	0.02615374	7	498.5625	0.998523	0.999622	1.00038	1.00148	0.03876375	1.008511
690	-11207.59	-9482.502	-1725.084	587232.7	0.00222351	-0.000599807	0.04319056	0.02711777	9	496.744	0.998342	0.999576	1.00042	1.00166	0.04259076	1.014083
700	-11220.98	-9477.282	-1743.701	716814.2	0.00208111	-0.001674333	0.04319903	0.03051568	6	495.2401	0.998499	0.999616	1.00038	1.0015	0.0415247	1.040321
710	-11213.26	-9468.793	-1744.465	890876.6	0.002126781	0.001326288	0.03666822	0.02558635	4	496.7419	0.998654	0.999656	1.00034	1.00135	0.03799451	0.9650927
720	-11189.82	-9470.496	-1719.319	848614.1	0.002211717	0.004702781	0.03331246	0.02594042	10	495.3161	0.998621	0.999647	1.00035	1.00138	0.03801524	0.8762922
730	-11219.79	-9496.099	-1723.692	570069.1	0.002195995	0.005913947	0.03138929	0.02642497	8	495.0484	0.998317	0.999569	1.00043	1.00168	0.03730324	0.8414629
740	-11205.98	-9484.963	-1721.017	879948.1	0.002364963	0.004376286	0.04132084	0.02717427	9	494.583	0.998645	0.999654	1.00035	1.00136	0.04569712	0.9042328
750	-11215.43	-9501.587	-1713.848	275476	0.002348434	0.004206961	0.03673574	0.02505592	10	493.8389	0.997579	0.99938	1.00062	1.00242	0.0409427	0.8972476
760	-11212.27	-9494.507	-1717.768	504783.8	0.002368789	0.003543381	0.04003718	0.02437849	8	493.3353	0.998211	0.999542	1.00046	1.00179	0.04358056	0.9186935
770	-11201.24	-9481.734	-1719.504	557946.8	0.002226798	0.007282031	0.04059076	0.02569715	8	492.7551	0.998299	0.999565	1.00043	1.0017	0.0478728	0.8478879
780	-11211.03	-9480.655	-1730.373	513786.7	0.002256229	-0.001483345	0.044828	0.02346291	7	492.427	0.998227	0.999547	1.00045	1.00177	0.04334465	1.034222
790	-11211.28	-9489.773	-1721.509	388352.3	0.002353512	0.003173398	0.04369762	0.02534596	8	491.3314	0.997961	0.999478	1.00052	1.00204	0.04687102	0.9322951
800	-11202.36	-9478.997	-1723.363	515273.4	0.002279677	0.005844647	0.03220614	0.02855875	7	490.9162	0.99823	0.999547	1.00045	1.00177	0.03805078	0.8463988
810	-11197.41	-9484.431	-1712.975	259234.3	0.002286347	-0.0008504016	0.05001993	0.02795991	9	491.3044	0.997505	0.999361	1.00064	1.0025	0.04916953	1.017295
820	-11189.47	-9472.581	-1716.886	956674.3	0.002323379	-0.002175513	0.04037972	0.02636354	8	492.8703	0.998701	0.999668	1.00033	1.0013	0.03820421	1.056944
830	-11189.49	-9474.71	-1714.78	441117	0.002168009	0.003198429	0.03253883	0.02945274	10	491.8136	0.998087	0.999511	1.00049	1.00191	0.03573726	0.9105016
840	-11196.2	-9474.355	-1721.844	652548.8	0.002355182	-0.001359333	0.0446335	0.0263263	8	492.0025	0.998427	0.999598	1.0004	1.00157	0.04327417	1.031412
850	-11195.79	-9474.661	-1721.124	269654.3	0.002203317	0.007039019	0.03631493	0.0274581	8	491.7769	0.997553	0.999374	1.00062	1.00245	0.04335395	0.8376383
860	-11195.68	-9464.861	-1730.817	697609.9	0.0022692	0.005100531	0.04605916	0.02215311	8	490.6758	0.998479	0.999611	1.00039	1.00152	0.05115969	0.9003018
870	-11200.81	-9460.68	-1740.134	885986.5	0.002189491	0.0003861608	0.03052654	0.03100504	5	490.7171	0.99865	0.999655	1.00034	1.00135	0.0309127	0.987508
880	-11207.31	-9472.791	-1734.521	364673.3	0.002182177	0.004128084	0.03996878	0.02718895	4	490.0436	0.997896	0.999462	1.00054	1.00211	0.04409686	0.906386
890	-11197.93	-9473.574	-1724.352	702167.6	0.002308643	0.005910956	0.04249323	0.0256781	6	491.8573	0.998483	0.999612	1.00039	1.00152	0.04840419	0.8778834
900	-11210.65	-9471.861	-1738.793	410854.5	0.002285484	0.003364555	0.03486525	0.02596365	5	491.3137	0.998018	0.999493	1.00051	1.00198	0.03822981	0.9119913
910	-11195.45	-9460.009	-1735.436	317653.7	0.002267351	0.0007367829	0.03703198	0.02441752	6	490.7024	0.997746	0.999423	1.00058	1.00226	0.03776877	0.9804923
920	-11207.08	-9477.823	-1729.26	433997	0.002170361	0.005301494	0.03639255	0.03028663	7	494.0282	0.998071	0.999507	1.00049	1.00193	0.04169404	0.8728477
930	-11197.98	-9460.298	-1737.678	727918.9	0.002087569	-0.000798223	0.03646956	0.027189	8	494.9282	0.998511	0.999619	1.00038	1.00149	0.03567134	1.022377
940	-11201.73	-9464.053	-1737.682	518343.8	0.002190094	0.004298924	0.03774516	0.02961323	8	493.5937	0.998235	0.999549	1.00045	1.00177	0.04204408	0.897752
950	-11194.8	-9449.448	-1745.351	857547	0.002167508	0.00325874	0.03811503	0.02639336	7	492.4219	0.998628	0.999649	1.00035	1.00137	0.04137377	0.9212366
960	-11201.3	-9455.218	-1746.078	262962.6	0.002183169	0.001123522	0.03496272	0.02613464	6	492.392	0.997522	0.999366	1.00063	1.00248	0.03608624	0.9688656
970	-11192.61	-9446.993	-1745.622	86050.84	0.002130269	-0.003526044	0.04491833	0.0280025	6	493.1346	0.99567	0.99889	1.0011	1.00434	0.04139229	1.085186
980	-11189.87	-9445.347	-1744.52	60664.97	0.002106568	0.004638712	0.03367454	0.02826841	7	493.84	0.994844	0.998677	1.00131	1.00517	0.03831325	0.8789267
990	-11196.91	-9444.43	-1752.477	29533.32	0.002147985	0.004337929	0.03591403	0.02512523	6	492.8961	0.992613	0.998101	1.00188	1.00741	0.04025196	0.8922306
1000	-11190.35	-9436.352	-1753.996	38083.72	0.002060929	0.002424416	0.03830703	0.02436155	6	492.1431	0.993494	0.998329	1.00166	1.00652	0.04073145	0.940478
1010	-11209.26	-9445.448	-1763.808	33267.49	0.002100018	0.005637956	0.03337824	0.02380217	5	491.8428	0.99304	0.998211	1.00177	1.00698	0.03901619	0.855497
1020	-11202.09	-9441.663	-1760.428	913235.6	0.002078592	0.002525015	0.03873126	0.02526145	6	493.5634	0.99867	0.99966	1.00034	1.00133	0.04125627	0.9387968
1030	-11198.48	-9438.338	-1760.139	787382.4	0.001985777	0.002401977	0.03927216	0.02538451	6	492.7676	0.998568	0.999634	1.00037	1.00143	0.04167414	0.9423629
1040	-11195.56	-9440.372	-1755.185	647335.7	0.00204117	-0.003622597	0.04487367	0.02303868	9	495.8247	0.998421	0.999596	1.0004	1.00158	0.04125107	1.087818
1050	-11211.17	-9435.879	-1775.288	602646.8	0.001913765	0.001988342	0.03628674	0.02172583	6	496.9472	0.998363	0.999581	1.00042	1.00164	0.03827508	0.9480513
1060	-11210.2	-9433.349	-1776.853	666493.6	0.001995952	-0.002403691	0.03942835	0.02373025	6	497.1179	0.998443	0.999602	1.0004	1.00156	0.03702466	1.064921
1070	-11214.61	-9440.324	-1774.286	240807.6	0.001989083	0.003229674	0.03839967	0.02698466	6	495.7474	0.997411	0.999337	1.00066	1.00259	0.04162934	0.9224183
1080	-11185.33	-9426.357	-1758.97	490679.7	0.00206761	0.007246884	0.03816543	0.02133504	9	497.3799	0.998186	0.999536	1.00046	1.00182	0.04541231	0.8404203
1090	-11210.7	-9442.344	-1768.359	386229.3	0.002048143	0.00895773	0.03370566	0.02286904	6	496.0176	0.997955	0.999477	1.00052	1.00205	0.04266339	0.7900371
1100	-11198.58	-9435.277	-1763.304	522074.3	0.001958591	0.0006452747	0.03649761	0.02255023	7	499.9576	0.998241	0.99955	1.00045	1.00176	0.03714288	0.9826272
1110	-11186.69	-9419.316	-1767.378	818760.1	0.001975122	0.007652112	0.03659488	0.02139247	6	501.0092	0.998596	0.999641	1.00036	1.00141	0.04424699	0.8270591
1120	-11174.37	-9417.071	-1757.303	301584.3	0.002039385	-0.0001570232	0.03363486	0.02458519	6	502.0562	0.997686	0.999408	1.00059	1.00232	0.03347783	1.00469
1130	-11177.49	-9410.315	-1767.172	81461.64	0.002072849	-0.003446237	0.03827118	0.02553853	5	500.0923	0.99555	0.998859	1.00113	1.00446	0.03482495	1.098959
1140	-11174.84	-9415.33	-1759.511	223.7953	0.001977694	0.001061865	0.04197055	0.02426028	7	500.3295	0.916356	0.977039	1.02041	1.0862	0.04303242	0.9753241
1150	-11040.21	-9287.365	-1752.849	2.353057	0.002202596	0.002039247	0.03967756	0.02192043	8	499.6973	0.332067	0.687975	1.07675	1.90321	0.0417168	0.9511169
1160	-11021.32	-9270.85	-1750.468	2.4662	0.002269151	0.005930796	0.04064868	0.02256929	8	500.0425	0.343228	0.696912	1.07823	1.88163	0.04657948	0.8726736
1170	-11032.15	-9279.162	-1752.986	2.826779	0.002122776	0.003324915	0.03360997	0.0251092	8	503.7047	0.375401	0.721463	1.08152	1.82162	0.03693489	0.909979
1180	-11026.56	-9269.354	-1757.204	2.927428	0.00223828	-0.0004108413	0.03586848	0.02605412	6	501.7419	0.383569	0.727429	1.08213	1.80687	0.03545764	1.011587
1190	-11026.05	-9262.589	-1763.463	2.440224	0.002063175	0.00362868	0.04244731	0.02475219	6	503.4981	0.340715	0.694919	1.07792	1.88645	0.04607599	0.9212458
1200	-11049.34	-9274.148	-1775.195	2.356878	0.002027626	-0.001768269	0.03776183	0.02587751	3	502.2269	0.332453	0.688288	1.0768	1.90245	0.03599356	1.049127
1210	-11058.36	-9284.917	-1773.448	2.587169	0.002008006	0.003566431	0.02850221	0.02940215	4	503.8428	0.354568	0.705764	1.07955	1.86012	0.03206864	0.8887876
1220	-11053.44	-9277.252	-1776.184	2.145914	0.00222034	0.00426728	0.03549638	0.02632797	3	503.6302	0.310092	0.669684	1.07325	1.94698	0.03976366	0.8926839
1230	-11046.87	-9296.428	-1750.438	2.662704	0.002327654	0.003842608	0.03798333	0.02611636	7	503.1602	0.361359	0.710959	1.08026	1.84743	0.04182593	0.9081286
1240	-11046.4	-9283.423	-1762.98	2.39949	0.001985249	-0.0006989493	0.04403144	0.02128341	6	504.8599	0.336715	0.691725	1.07739	1.89417	0.04333249	1.01613
1250	-11044.13	-9276.61	-1767.516	2.533792	0.002179393	0.003508959	0.0353846	0.02643754	7	504.4204	0.349637	0.701942	1.079	1.86942	0.03889356	0.9097804
1260	-11041.89	-9274.406	-1767.482	2.355444	0.002178723	0.005117263	0.03663988	0.02692901	7	505.7922	0.332309	0.688171	1.07678	1.90274	0.04175714	0.8774518
1270	-11045.15	-9271.401	-1773.749	2.361738	0.002011734	-0.001278529	0.03514452	0.02361257	8	503.3149	0.332944	0.688685	1.07687	1.9015	0.03386599	1.037753
1280	-11041.32	-9277.63	-1763.693	2.527262	0.002117737	0.004937622	0.04002614	0.02495153	9	502.1965	0.349026	0.701466	1.07893	1.87058	0.04496376	0.8901866
1290	-11036.76	-9279.519	-1757.237	1.986182	0.001986441	0.0037429	0.03552469	0.02642819	11	499.9767	0.29162	0.653536	1.06964	1.9852	0.03926759	0.9046822
1300	-11040.75	-9276.486	-1764.261	1.964079	0.001940923	0.001245287	0.03228027	0.02319211	10	500.2378	0.288949	0.651139	1.06906	1.99085	0.03352555	0.9628556
1310	-11043.15	-9283.641	-1759.511	2.265291	0.001987127	-0.0003166762	0.03402387	0.0296604	9	499.1278	0.323011	0.680553	1.0754	1.92103	0.0337072	1.009395
1320	-11031.14	-9279.724	-1751.413	2.005695	0.002140811	-0.001174952	0.03895154	0.02419211	8	500.2609	0.293954	0.655618	1.07013	1.9803	0.03777658	1.031103
1330	-11038	-9277.275	-1760.728	2.281161	0.001979832	0.003805438	0.03112435	0.02995613	7	500.556	0.324676	0.681929	1.07566	1.91774	0.03492978	0.8910546
1340	-11025.52	-9268.895	-1756.621	1.945222	0.001953318	0.004782659	0.03716367	0.02334956	8	500.684	0.286647	0.649059	1.06856	1.99574	0.04194633	0.8859815
1350	-11035.71	-9276.904	-1758.803	2.992281	0.002096191	0.002243838	0.03448103	0.02586696	7	500.5026	0.388664	0.7311	1.08248	1.79776	0.03672486	0.9389014
1360	-11042.49	-9282.381	-1760.108	2.224937	0.002136218	0.00381265	0.03697211	0.02289328	7	502.3922	0.318724	0.676983	1.07472	1.92957	0.04078476	0.9065178
1370	-11041.67	-9271.218	-1770.45	2.423645	0.002145743	0.002731449	0.04349211	0.02333765	3	499.5225	0.339096	0.693629	1.07771	1.88957	0.04622356	0.9409079
1380	-11053.49	-9278.696	-1774.797	2.99961	0.001989139	0.004216227	0.03773694	0.02082814	4	496.6774	0.389232	0.731506	1.08251	1.79675	0.04195316	0.8995016
1390	-11043.32	-9275.938	-1767.382	2.032533	0.002083888	0.006388765	0.03908951	0.02314789	6	497.6671	0.297127	0.658429	1.07078	1.97366	0.04547827	0.8595205
1400	-11025.99	-9259.477	-1766.511	2.288427	0.002164846	0.0009801863	0.03968468	0.0256824	6	496.6419	0.325434	0.682553	1.07578	1.91624	0.04066487	0.975896
1410	-11030.29	-9275.344	-1754.945	2.312344	0.002095163	-0.0005102259	0.03755608	0.02835029	8	496.0412	0.327911	0.684588	1.07615	1.91135	0.03704585	1.013773
1420	-11029.26	-9276.586	-1752.678	1.92164	0.001997935	0.009039556	0.03715147	0.02209649	8	494.8045	0.283738	0.646414	1.0679	2.00195	0.04619103	0.8043006
1430	-11024.82	-9258.277	-1766.546	2.274796	0.001987739	0.0007211253	0.03720839	0.02826976	7	495.708	0.32401	0.681379	1.07556	1.91905	0.03792952	0.9809878
1440	-11014.66	-9247.64	-1767.023	2.430208	0.002032685	0.001660164	0.03156863	0.02508392	8	494.6317	0.339738	0.694142	1.07779	1.88833	0.03322879	0.9500384
1450	-11028.01	-9269.912	-1758.097	2.477134	0.002000904	0.006485032	0.02703061	0.02660553	11	494.9616	0.344278	0.697741	1.07836	1.87962	0.03351564	0.8065073
1460	-11023.96	-9271.177	-1752.78	2.691506	0.002031298	0.00129304	0.04422035	0.02150517	10	495.7759	0.363893	0.712878	1.0805	1.84273	0.04551339	0.9715899
1470	-11022.41	-9277.742	-1744.667	2.479041	0.002012681	-0.001813495	0.04153441	0.02672929	12	495.1116	0.34446	0.697884	1.07839	1.87927	0.03972091	1.045656
1480	-11036.61	-9280.31	-1756.302	2.185491	0.001903501	0.006099064	0.03459146	0.0266584	9	494.9773	0.314455	0.673392	1.07401	1.93815	0.04069052	0.8501109
1490	-11036.4	-9265.842	-1770.555	2.363215	0.001983481	0.002543936	0.02753381	0.02629652	8	494.3956	0.333092	0.688805	1.07689	1.90121	0.03007775	0.9154213
1500	-11032.36	-9265.778	-1766.581	2.054197	0.001835356	0.007483746	0.03452917	0.02389473	10	494.853	0.29966	0.660656	1.07129	1.9684	0.04201291	0.8218703
1510	-11030.42	-9254.789	-1775.628	2.625113	0.001988924	0.0003590254	0.03405399	0.02256899	7	493.4449	0.358006	0.708404	1.07992	1.85367	0.03441302	0.9895672
1520	-11032.22	-9266.815	-1765.401	2.85036	0.002045152	0.002752408	0.0399287	0.02299276	8	494.1531	0.377344	0.722891	1.08167	1.8181	0.04268111	0.9355123
